scientific_name,taxon,iucn_class,iucn_category,iucn_score,gen,is_single
Chelodina mccordi,파충류,REPTILIA,CR,4,17.5,False
Tampichthys dichromus,어류,ACTINOPTERYGII,CR,4,2.0,True
Gopherus flavomarginatus,파충류,REPTILIA,CR,4,50.0,False
Acheilognathus elongatus,어류,ACTINOPTERYGII,CR,4,2.0,True
Indolestes boninensis,무척추/식물/기타,INSECTA,CR,4,0.375,False
Anas laysanensis,조류,AVES,CR,4,6.5,True
Gymnocalycium denudatum,무척추/식물/기타,MAGNOLIOPSIDA,EN,3,10.0,True
Micranthocereus auriazureus,무척추/식물/기타,MAGNOLIOPSIDA,EN,3,12.5,False
Xenicus gilviventris,조류,AVES,EN,3,2.66,True
Calocedrus formosana,무척추/식물/기타,PINOPSIDA,EN,3,25.0,True
Amentotaxus formosana,무척추/식물/기타,PINOPSIDA,EN,3,25.0,True
Picea omorika,무척추/식물/기타,PINOPSIDA,EN,3,50.0,True
Cynoscion regalis,어류,ACTINOPTERYGII,EN,3,7.25,True
Pinus palustris,무척추/식물/기타,PINOPSIDA,EN,3,30.0,True
Micranthocereus polyanthus,무척추/식물/기타,MAGNOLIOPSIDA,EN,3,10.0,True
Anthemis glaberrima,무척추/식물/기타,MAGNOLIOPSIDA,EN,3,1.0,True
Astacopsis gouldi,무척추/식물/기타,MALACOSTRACA,EN,3,14.0,True
Parodia magnifica,무척추/식물/기타,MAGNOLIOPSIDA,EN,3,10.0,True
Chamaecyparis formosensis,무척추/식물/기타,PINOPSIDA,EN,3,100.0,True
Conorhynchos conirostris,어류,ACTINOPTERYGII,EN,3,10.0,True
Obregonia denegrii,무척추/식물/기타,MAGNOLIOPSIDA,EN,3,10.0,True
Abies ziyuanensis,무척추/식물/기타,PINOPSIDA,EN,3,32.5,False
Encephalartos horridus,무척추/식물/기타,CYCADOPSIDA,EN,3,200.0,True
Oreophasis derbianus,조류,AVES,EN,3,9.55,True
Pereskia aureiflora,무척추/식물/기타,MAGNOLIOPSIDA,EN,3,20.0,True
Lepilemur milanoii,포유류,MAMMALIA,EN,3,5.0,True
Lates angustifrons,어류,ACTINOPTERYGII,EN,3,6.67,True
Graptemys pearlensis,파충류,REPTILIA,EN,3,17.0,True
Larix mastersiana,무척추/식물/기타,PINOPSIDA,EN,3,30.0,True
Pterocarpus erinaceus,무척추/식물/기타,MAGNOLIOPSIDA,EN,3,50.0,True
Montipora digitata,무척추/식물/기타,ANTHOZOA,EN,3,10.0,True
Accipiter gundlachi,조류,AVES,EN,3,6.02,True
Puya raimondii,무척추/식물/기타,LILIOPSIDA,EN,3,80.0,True
Zosterops flavus,조류,AVES,EN,3,2.4,True
Aulonocara guentheri,어류,ACTINOPTERYGII,EN,3,2.0,True
Echinocactus grusonii,무척추/식물/기타,MAGNOLIOPSIDA,EN,3,10.0,True
Elephas maximus,포유류,MAMMALIA,EN,3,23.5,False
Sequoia sempervirens,무척추/식물/기타,PINOPSIDA,EN,3,1000.0,True
Brachypelma boehmei,무척추/식물/기타,ARACHNIDA,EN,3,7.0,True
Cyclemys oldhamii,파충류,REPTILIA,EN,3,30.0,True
Taxus wallichiana,무척추/식물/기타,PINOPSIDA,EN,3,30.0,True
Sequoiadendron giganteum,무척추/식물/기타,PINOPSIDA,EN,3,100.0,True
Dioon purpusii,무척추/식물/기타,CYCADOPSIDA,EN,3,500.0,True
Garrulax rufifrons,조류,AVES,EN,3,3.9,True
Eucalyptus gunnii,무척추/식물/기타,MAGNOLIOPSIDA,EN,3,70.0,True
Emydoidea blandingii,파충류,REPTILIA,EN,3,2388.0,False
Capoetobrama kuschakewitschi,어류,ACTINOPTERYGII,EN,3,4.5,False
Cuon alpinus,포유류,MAMMALIA,EN,3,5.0,True
Ochotona koslowi,포유류,MAMMALIA,EN,3,1.0,True
Gleditsia caspica,무척추/식물/기타,MAGNOLIOPSIDA,EN,3,20.0,True
Cycas circinalis,무척추/식물/기타,CYCADOPSIDA,EN,3,40.0,True
Berenicornis comatus,조류,AVES,EN,3,19.0,True
Rhyticeros everetti,조류,AVES,EN,3,8.4,True
Procellaria westlandica,조류,AVES,EN,3,30.2,True
Lamiopsis tephrodes,어류,CHONDRICHTHYES,EN,3,6.5,True
Acipenser ruthenus,어류,ACTINOPTERYGII,EN,3,21.8,False
Aratinga solstitialis,조류,AVES,EN,3,6.55,True
Elaeocarpus recurvatus,무척추/식물/기타,MAGNOLIOPSIDA,EN,3,25.0,True
Haplochromis igneopinnis,어류,ACTINOPTERYGII,EN,3,1.0,True
Pavo muticus,조류,AVES,EN,3,6.1,True
Diomedea amsterdamensis,조류,AVES,EN,3,27.2,True
Taphrolesbia griseiventris,조류,AVES,EN,3,2.4,True
Lamiopsis temminckii,어류,CHONDRICHTHYES,EN,3,6.5,True
Oxyura maccoa,조류,AVES,EN,3,5.5,True
Alytes dickhilleni,양서류,AMPHIBIA,EN,3,7.0,True
Oxyura leucocephala,조류,AVES,VU,2,5.5,True
Pterodroma cahow,조류,AVES,EN,3,15.6,True
Penelopides mindorensis,조류,AVES,EN,3,7.75,True
Copsychus sechellarum,조류,AVES,EN,3,4.5,True
Polyplectron malacense,조류,AVES,EN,3,6.9,True
Taoniscus nanus,조류,AVES,EN,3,6.8,True
Mustelus mustelus,어류,CHONDRICHTHYES,EN,3,17.8,True
Ctenosaura oedirhina,파충류,REPTILIA,EN,3,9.0,True
Ctenosaura melanosterna,파충류,REPTILIA,EN,3,8.0,True
Ctenosaura palearis,파충류,REPTILIA,EN,3,6.0,True
Amazona vinacea,조류,AVES,EN,3,12.3,True
Anabarilius polylepis,어류,ACTINOPTERYGII,EN,3,2.0,True
Alburnus albidus,어류,ACTINOPTERYGII,EN,3,3.0,True
Hippocampus whitei,어류,ACTINOPTERYGII,EN,3,1.0,False
Anas bernieri,조류,AVES,EN,3,3.8,True
Salamandrina perspicillata,양서류,AMPHIBIA,EN,3,11.0,False
