scientific_name,iucn_class,taxon,iucn_category,iucn_rli,consensus_score,lw5,intervention_tier,diff,is_extinct,pop_source,iucn_trend,ews,pva,iucn_layer,primary_driver,confidence
Anthemis glaberrima,MAGNOLIOPSIDA,무척추/식물/기타,EN,3,40.2,2.0100000000000002,T2,-0.9899999999999998,False,iucn_population_size,Decreasing,88.07970779778823,40.949999999999996,10,EWS 신호,0.6
Ariocarpus scaphirostris,MAGNOLIOPSIDA,무척추/식물/기타,EN,3,40.4,2.02,T2,-0.98,False,iucn_population_size,Decreasing,88.07970779778823,41.22,10,EWS 신호,0.6
Obregonia denegrii,MAGNOLIOPSIDA,무척추/식물/기타,EN,3,44.9,2.245,T2,-0.7549999999999999,False,iucn_population_size,Decreasing,88.07970779778823,42.099999999999994,30,EWS 신호,0.6
Abies ziyuanensis,PINOPSIDA,무척추/식물/기타,EN,3,51.6,2.58,T2,-0.41999999999999993,False,iucn_population_size,Decreasing,88.07970779778823,45.74999999999999,55,EWS 신호,0.6
Oreophasis derbianus,AVES,조류,EN,3,51.1,2.555,T2,-0.44499999999999984,False,iucn_population_size,Decreasing,88.07970779778823,44.21666666666667,55,EWS 신호,0.6
Gomortega keule,MAGNOLIOPSIDA,무척추/식물/기타,EN,3,51.0,2.55,T2,-0.4500000000000002,False,iucn_population_size,Decreasing,88.07970779778823,44.07333333333333,55,EWS 신호,0.6
Aloe cremnophila,LILIOPSIDA,무척추/식물/기타,EN,3,70.0,3.5,T3,0.5,False,iucn_population_size,Unknown,66.07563687658173,21.689999999999998,95,IUCN/유전 임계값,0.6
Sauromalus hispidus,REPTILIA,파충류,EN,3,50.3,2.5149999999999997,T2,-0.4850000000000003,False,iucn_population_size,Decreasing,88.07970779778823,42.21333333333334,55,EWS 신호,0.6
Goetzea elegans,MAGNOLIOPSIDA,무척추/식물/기타,EN,3,22.6,1.1300000000000001,T1,-1.8699999999999999,False,iucn_population_size,Unknown,66.07563687658173,9.036666666666667,55,EWS 신호,0.6
Accipiter gundlachi,AVES,조류,EN,3,51.5,2.575,T2,-0.4249999999999998,False,iucn_population_size,Decreasing,88.07970779778823,45.28333333333333,55,EWS 신호,0.6
Puya raimondii,LILIOPSIDA,무척추/식물/기타,EN,3,40.2,2.0100000000000002,T2,-0.9899999999999998,False,iucn_population_size,Decreasing,88.07970779778823,40.81333333333333,10,EWS 신호,0.6
Echinocactus grusonii,MAGNOLIOPSIDA,무척추/식물/기타,EN,3,40.4,2.02,T2,-0.98,False,iucn_population_size,Decreasing,88.07970779778823,41.29333333333333,10,EWS 신호,0.6
Nepenthes chaniana,MAGNOLIOPSIDA,무척추/식물/기타,EN,3,22.1,1.105,T1,-1.895,False,iucn_population_size,Unknown,66.07563687658173,7.136666666666666,55,EWS 신호,0.6
Mammillaria mathildae,MAGNOLIOPSIDA,무척추/식물/기타,EN,3,67.3,3.3649999999999998,T3,0.36499999999999977,False,iucn_population_size,Decreasing,88.07970779778823,46.37,80,EWS 신호,0.6
Dioon purpusii,CYCADOPSIDA,무척추/식물/기타,EN,3,50.5,2.525,T2,-0.4750000000000001,False,iucn_population_size,Decreasing,88.07970779778823,42.70333333333333,55,EWS 신호,0.6
Garrulax rufifrons,AVES,조류,EN,3,50.3,2.5149999999999997,T2,-0.4850000000000003,False,iucn_population_size,Decreasing,88.07970779778823,42.19,55,EWS 신호,0.6
Achyranthes mutica,MAGNOLIOPSIDA,무척추/식물/기타,EN,3,79.8,3.9899999999999998,T3,0.9899999999999998,False,iucn_population_size,Decreasing,88.07970779778823,65.89333333333333,95,IUCN/유전 임계값,0.6
Cuon alpinus,MAMMALIA,포유류,EN,3,50.6,2.5300000000000002,T2,-0.46999999999999975,False,iucn_population_size,Decreasing,88.07970779778823,43.096666666666664,55,EWS 신호,0.6
Echium pininana,MAGNOLIOPSIDA,무척추/식물/기타,EN,3,15.3,0.765,T0,-2.235,False,iucn_population_size,Unknown,66.07563687658173,7.243333333333332,10,EWS 신호,0.6
Cycas circinalis,CYCADOPSIDA,무척추/식물/기타,EN,3,44.9,2.245,T2,-0.7549999999999999,False,iucn_population_size,Decreasing,88.07970779778823,42.03666666666667,30,EWS 신호,0.6
Rhyticeros everetti,AVES,조류,EN,3,50.6,2.5300000000000002,T2,-0.46999999999999975,False,iucn_population_size,Decreasing,88.07970779778823,43.093333333333334,55,EWS 신호,0.6
Procellaria westlandica,AVES,조류,EN,3,15.2,0.76,T0,-2.24,False,iucn_population_size,Unknown,66.07563687658173,6.766666666666667,10,EWS 신호,0.6
Aratinga solstitialis,AVES,조류,EN,3,51.0,2.55,T2,-0.4500000000000002,False,iucn_population_size,Decreasing,88.07970779778823,44.013333333333335,55,EWS 신호,0.6
Elaeocarpus recurvatus,MAGNOLIOPSIDA,무척추/식물/기타,EN,3,45.2,2.2600000000000002,T2,-0.7399999999999998,False,iucn_population_size,Decreasing,88.07970779778823,42.81999999999999,30,EWS 신호,0.6
Pavo muticus,AVES,조류,EN,3,40.6,2.0300000000000002,T2,-0.9699999999999998,False,iucn_population_size,Decreasing,88.07970779778823,41.803333333333335,10,EWS 신호,0.6
Diomedea amsterdamensis,AVES,조류,EN,3,78.0,3.9,T3,0.8999999999999999,False,iucn_population_size,Increasing,11.920292202211755,3.0566666666666666,95,IUCN/유전 임계값,0.6
Taphrolesbia griseiventris,AVES,조류,EN,3,67.0,3.35,T3,0.3500000000000001,False,iucn_population_size,Decreasing,88.07970779778823,45.79,80,EWS 신호,0.6
Oxyura maccoa,AVES,조류,EN,3,44.8,2.2399999999999998,T2,-0.7600000000000002,False,iucn_population_size,Decreasing,88.07970779778823,41.709999999999994,30,EWS 신호,0.6
Oxyura leucocephala,AVES,조류,VU,2,50.8,2.54,T2,0.54,False,iucn_population_size,Decreasing,88.07970779778823,43.62333333333333,55,EWS 신호,0.6
Pterodroma cahow,AVES,조류,EN,3,70.0,3.5,T3,0.5,False,iucn_population_size,Increasing,11.920292202211755,0.02333333333333333,95,IUCN/유전 임계값,0.6
Penelopides mindorensis,AVES,조류,EN,3,66.9,3.345,T3,0.3450000000000002,False,iucn_population_size,Decreasing,88.07970779778823,45.52666666666666,80,EWS 신호,0.6
Copsychus sechellarum,AVES,조류,EN,3,70.0,3.5,T3,0.5,False,iucn_population_size,Increasing,11.920292202211755,0.09333333333333332,95,IUCN/유전 임계값,0.6
Acer griseum,MAGNOLIOPSIDA,무척추/식물/기타,EN,3,75.1,3.755,T3,0.7549999999999999,False,iucn_population_size,Decreasing,88.07970779778823,55.33999999999999,95,IUCN/유전 임계값,0.6
Taoniscus nanus,AVES,조류,EN,3,44.8,2.2399999999999998,T2,-0.7600000000000002,False,iucn_population_size,Decreasing,88.07970779778823,41.64666666666667,30,EWS 신호,0.6
Ctenosaura oedirhina,REPTILIA,파충류,EN,3,44.7,2.2350000000000003,T2,-0.7649999999999997,False,iucn_population_size,Decreasing,88.07970779778823,41.49,30,EWS 신호,0.6
Ctenosaura melanosterna,REPTILIA,파충류,EN,3,44.8,2.2399999999999998,T2,-0.7600000000000002,False,iucn_population_size,Decreasing,88.07970779778823,41.76333333333333,30,EWS 신호,0.6
Ctenosaura palearis,REPTILIA,파충류,EN,3,50.4,2.52,T2,-0.48,False,iucn_population_size,Decreasing,88.07970779778823,42.42999999999999,55,EWS 신호,0.6
Melicope pallida,MAGNOLIOPSIDA,무척추/식물/기타,CR,4,73.4,3.6700000000000004,T3,-0.3299999999999996,False,iucn_population_size,Decreasing,88.07970779778823,51.71666666666667,95,IUCN/유전 임계값,0.6
Amazona vinacea,AVES,조류,EN,3,50.2,2.5100000000000002,T2,-0.48999999999999977,False,iucn_population_size,Decreasing,88.07970779778823,41.85666666666666,55,EWS 신호,0.6
Anas bernieri,AVES,조류,EN,3,51.0,2.55,T2,-0.4500000000000002,False,iucn_population_size,Decreasing,88.07970779778823,44.126666666666665,55,EWS 신호,0.6
Juniperus gracilior,PINOPSIDA,무척추/식물/기타,EN,3,51.3,2.565,T2,-0.43500000000000005,False,iucn_population_size,Decreasing,88.07970779778823,44.82000000000001,55,EWS 신호,0.6
Phalacrocorax featherstoni,AVES,조류,EN,3,50.8,2.54,T2,-0.45999999999999996,False,iucn_population_size,Decreasing,88.07970779778823,43.56666666666666,55,EWS 신호,0.6
Conolophus pallidus,REPTILIA,파충류,VU,2,18.4,0.9199999999999999,T0,-1.08,False,iucn_population_size,Unknown,66.07563687658173,7.426666666666666,30,EWS 신호,0.6
Procellaria aequinoctialis,AVES,조류,VU,2,39.7,1.985,T1,-0.014999999999999902,False,iucn_population_size,Decreasing,88.07970779778823,39.593333333333334,10,EWS 신호,0.6
Procellaria conspicillata,AVES,조류,VU,2,3.6,0.18,T0,-1.82,False,iucn_population_size,Increasing,11.920292202211755,0.0,10,EWS 신호,0.6
Tyto aurantia,AVES,조류,VU,2,44.9,2.245,T2,0.2450000000000001,False,iucn_population_size,Decreasing,88.07970779778823,42.07666666666666,30,EWS 신호,0.6
Aloe ukambensis,LILIOPSIDA,무척추/식물/기타,VU,2,18.3,0.915,T0,-1.085,False,iucn_population_size,Unknown,66.07563687658173,7.039999999999999,30,EWS 신호,0.6
Gallotia simonyi,REPTILIA,파충류,VU,2,60.0,3.0,T3,1.0,False,iucn_population_size,Unknown,66.07563687658173,16.263333333333332,80,IUCN/유전 임계값,0.6
Telespiza cantans,AVES,조류,VU,2,13.5,0.675,T0,-1.325,False,iucn_population_size,Stable,50.0,0.16333333333333333,30,EWS 신호,0.6
Procellaria parkinsoni,AVES,조류,VU,2,13.5,0.675,T0,-1.325,False,iucn_population_size,Stable,50.0,0.16333333333333333,30,EWS 신호,0.6
Geothlypis beldingi,AVES,조류,VU,2,50.7,2.535,T2,0.5350000000000001,False,iucn_population_size,Decreasing,88.07970779778823,43.25333333333333,55,EWS 신호,0.6
Accipiter butleri,AVES,조류,VU,2,51.0,2.55,T2,0.5499999999999998,False,iucn_population_size,Decreasing,88.07970779778823,44.01,55,EWS 신호,0.6
Accipiter luteoschistaceus,AVES,조류,VU,2,50.7,2.535,T2,0.5350000000000001,False,iucn_population_size,Decreasing,88.07970779778823,43.16,55,EWS 신호,0.6
Accipiter henstii,AVES,조류,VU,2,51.5,2.575,T2,0.5750000000000002,False,iucn_population_size,Decreasing,88.07970779778823,45.25666666666667,55,EWS 신호,0.6
Accipiter brachyurus,AVES,조류,VU,2,45.0,2.25,T2,0.25,False,iucn_population_size,Decreasing,88.07970779778823,42.166666666666664,30,EWS 신호,0.6
Parasitaxus usta,PINOPSIDA,무척추/식물/기타,VU,2,40.3,2.0149999999999997,T2,0.01499999999999968,False,iucn_population_size,Decreasing,88.07970779778823,41.193333333333335,10,EWS 신호,0.6
Pterospermum reticulatum,MAGNOLIOPSIDA,무척추/식물/기타,LC,0,10.5,0.525,T0,0.525,False,iucn_population_size,Stable,50.0,0.09333333333333332,10,EWS 신호,0.6
Accipiter princeps,AVES,조류,VU,2,44.7,2.2350000000000003,T2,0.23500000000000032,False,iucn_population_size,Decreasing,88.07970779778823,41.523333333333326,30,EWS 신호,0.6
Psittrichas fulgidus,AVES,조류,VU,2,39.9,1.9949999999999999,T1,-0.0050000000000001155,False,iucn_population_size,Decreasing,88.07970779778823,40.056666666666665,10,EWS 신호,0.6
Sternula nereis,AVES,조류,VU,2,44.8,2.2399999999999998,T2,0.23999999999999977,False,iucn_population_size,Decreasing,88.07970779778823,41.83,30,EWS 신호,0.6
Astrophytum asterias,MAGNOLIOPSIDA,무척추/식물/기타,VU,2,44.8,2.2399999999999998,T2,0.23999999999999977,False,iucn_population_size,Decreasing,88.07970779778823,41.64333333333333,30,EWS 신호,0.6
Cycas armstrongii,CYCADOPSIDA,무척추/식물/기타,VU,2,39.8,1.9899999999999998,T1,-0.010000000000000231,False,iucn_population_size,Decreasing,88.07970779778823,39.88333333333333,10,EWS 신호,0.6
Echium gentianoides,MAGNOLIOPSIDA,무척추/식물/기타,VU,2,3.6,0.18,T0,-1.82,False,iucn_population_size,Increasing,11.920292202211755,0.0,10,EWS 신호,0.6
Beccariophoenix alfredii,LILIOPSIDA,무척추/식물/기타,VU,2,17.4,0.8699999999999999,T0,-1.1300000000000001,False,iucn_population_size,Stable,50.0,0.5833333333333333,55,IUCN/유전 임계값,0.6
Nepenthes campanulata,MAGNOLIOPSIDA,무척추/식물/기타,VU,2,13.6,0.6799999999999999,T0,-1.32,False,iucn_population_size,Stable,50.0,0.25666666666666665,30,EWS 신호,0.6
Lophophora diffusa,MAGNOLIOPSIDA,무척추/식물/기타,VU,2,49.9,2.495,T2,0.4950000000000001,False,iucn_population_size,Decreasing,88.07970779778823,41.1,55,EWS 신호,0.6
Chondrostoma scodrense,ACTINOPTERYGII,어류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Brotomys voratus,MAMMALIA,포유류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Achyranthes atollensis,MAGNOLIOPSIDA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Notomys mordax,MAMMALIA,포유류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Cyprinodon ceciliae,ACTINOPTERYGII,어류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Boromys torrei,MAMMALIA,포유류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Boromys offella,MAMMALIA,포유류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Isolobodon montanus,MAMMALIA,포유류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Flabellidium spinosum,BRYOPSIDA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Coua delalandei,AVES,조류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Cyprinodon inmemoriam,ACTINOPTERYGII,어류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Gambusia amistadensis,ACTINOPTERYGII,어류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Litoria nyakalensis,AMPHIBIA,양서류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Pteropus pilosus,MAMMALIA,포유류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Leiolopisma mauritiana,REPTILIA,파충류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Argyroxiphium virescens,MAGNOLIOPSIDA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Elimia gibbera,GASTROPODA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Achatinella papyracea,GASTROPODA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Leptoxis vittata,GASTROPODA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Melicope obovata,MAGNOLIOPSIDA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Scelotes guentheri,REPTILIA,파충류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Pradosia glaziovii,MAGNOLIOPSIDA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Turdus ravidus,AVES,조류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Alburnus akili,ACTINOPTERYGII,어류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Ctenochromis pectoralis,ACTINOPTERYGII,어류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Blutaparon rigidum,MAGNOLIOPSIDA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Lophopsittacus mauritianus,AVES,조류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Kokia lanceolata,MAGNOLIOPSIDA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Chilonopsis blofeldi,GASTROPODA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Porphyrio caerulescens,AVES,조류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Lagorchestes asomatus,MAMMALIA,포유류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Lepidochrysops hypopolia,INSECTA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Myrcia neocambessedeana,MAGNOLIOPSIDA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Streblorrhiza speciosa,MAGNOLIOPSIDA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Myrcia skeldingii,MAGNOLIOPSIDA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Campomanesia lundiana,MAGNOLIOPSIDA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Roystonea stellata,LILIOPSIDA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Cylindraspis inepta,REPTILIA,파충류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Geocapromys thoracatus,MAMMALIA,포유류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Achatinella casta,GASTROPODA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Drosophila lanaiensis,INSECTA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Cyprinus yilongensis,ACTINOPTERYGII,어류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Myadestes woahensis,AVES,조류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Heteropsomys insulans,MAMMALIA,포유류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Cryptonanus ignitus,MAMMALIA,포유류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Vanvoorstia bennettiana,FLORIDEOPHYCEAE,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Hibiscadelphus crucibracteatus,MAGNOLIOPSIDA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Perameles eremiana,MAMMALIA,포유류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Barbus microbarbis,ACTINOPTERYGII,어류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Chasmistes muriei,ACTINOPTERYGII,어류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Chlorostilbon elegans,,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Alasmidonta wrightiana,BIVALVIA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Alasmidonta robusta,BIVALVIA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Chlorostilbon bracei,,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Argocoffeopsis lemblinii,MAGNOLIOPSIDA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Tetradactylus eastwoodae,REPTILIA,파충류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Juscelinomys candango,MAMMALIA,포유류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Coregonus johannae,ACTINOPTERYGII,어류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Hibiscadelphus bombycinus,MAGNOLIOPSIDA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Deloneura immaculata,INSECTA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Necropsar rodericanus,AVES,조류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Begonia eiromischa,MAGNOLIOPSIDA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Cyanoramphus ulietanus,AVES,조류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Viola cryana,MAGNOLIOPSIDA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Salmo pallaryi,ACTINOPTERYGII,어류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Necropsittacus rodricanus,AVES,조류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Xenicus longipes,AVES,조류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Hexolobodon phenax,MAMMALIA,포유류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Achatinella spaldingi,GASTROPODA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Leptoxis compacta,GASTROPODA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Mecodema punctellum,INSECTA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Lepidomeda altivelis,ACTINOPTERYGII,어류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Acalypha rubrinervis,MAGNOLIOPSIDA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Potorous platyops,MAMMALIA,포유류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Salvelinus agassizii,ACTINOPTERYGII,어류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Leporillus apicalis,MAMMALIA,포유류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Achatinella abbreviata,GASTROPODA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Achatinella caesia,GASTROPODA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Achatinella thaanumi,GASTROPODA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Caloprymnus campestris,MAMMALIA,포유류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Lagorchestes leporides,MAMMALIA,포유류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Partula turgida,GASTROPODA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Leiocephalus herminieri,REPTILIA,파충류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Leiocephalus eremitus,REPTILIA,파충류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Dromaius baudinianus,AVES,조류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Anas marecula,AVES,조류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Alasmidonta mccordi,BIVALVIA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Incerticyclus martinicensis,GASTROPODA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Incerticyclus cinereus,GASTROPODA,무척추/식물/기타,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
Evarra bustamantei,ACTINOPTERYGII,어류,EX,5,100.0,5.0,EX,0.0,True,none/extinct,,100.0,100.0,100,이미 절멸 — 회고 단계,1.0
