scientific_name,iucn_class,taxon_group,iucn_category,iucn_score
Echium pininana,MAGNOLIOPSIDA,식물,EN,3
Aloe monticola,LILIOPSIDA,식물,EN,3
Hyperolius nimbae,AMPHIBIA,양서류,EN,3
Gleditsia caspica,MAGNOLIOPSIDA,식물,EN,3
Cycas circinalis,CYCADOPSIDA,식물,EN,3
Berenicornis comatus,AVES,조류,EN,3
Scelotes kasneri,REPTILIA,파충류,EN,3
Boulengerula niedeni,AMPHIBIA,양서류,EN,3
Myristica filipes,MAGNOLIOPSIDA,식물,EN,3
Rhyticeros everetti,AVES,조류,EN,3
Procellaria westlandica,AVES,조류,EN,3
Bitis parviocula,REPTILIA,파충류,EN,3
Lamiopsis tephrodes,CHONDRICHTHYES,어류,EN,3
Barbatula zetensis,ACTINOPTERYGII,어류,EN,3
Acipenser ruthenus,ACTINOPTERYGII,어류,EN,3
Aratinga solstitialis,AVES,조류,EN,3
Weberocereus trichophorus,MAGNOLIOPSIDA,식물,EN,3
Elaeocarpus recurvatus,MAGNOLIOPSIDA,식물,EN,3
Haplochromis igneopinnis,ACTINOPTERYGII,어류,EN,3
Polystachya cooperi,LILIOPSIDA,식물,EN,3
Pavo muticus,AVES,조류,EN,3
Melolobium subspicatum,MAGNOLIOPSIDA,식물,EN,3
Odorrana amamiensis,AMPHIBIA,양서류,EN,3
Alsodes valdiviensis,AMPHIBIA,양서류,EN,3
Aloe pronkii,LILIOPSIDA,식물,EN,3
Aloe pseudoparvula,LILIOPSIDA,식물,EN,3
Diomedea amsterdamensis,AVES,조류,EN,3
Syzygium turbinatum,MAGNOLIOPSIDA,식물,EN,3
Taphrolesbia griseiventris,AVES,조류,EN,3
Lamiopsis temminckii,CHONDRICHTHYES,어류,EN,3
Oxyura maccoa,AVES,조류,EN,3
Danio erythromicron,ACTINOPTERYGII,어류,EN,3
Alytes dickhilleni,AMPHIBIA,양서류,EN,3
Oxyura leucocephala,AVES,조류,VU,2
Pterodroma cahow,AVES,조류,EN,3
Penelopides mindorensis,AVES,조류,EN,3
Copsychus sechellarum,AVES,조류,EN,3
Polyplectron malacense,AVES,조류,EN,3
Acer griseum,MAGNOLIOPSIDA,식물,EN,3
Papilio chikae,INSECTA,무척추,EN,3
Taoniscus nanus,AVES,조류,EN,3
Mustelus mustelus,CHONDRICHTHYES,어류,EN,3
Dendrocereus nudiflorus,MAGNOLIOPSIDA,식물,EN,3
Gulella taitensis,GASTROPODA,무척추,EN,3
Ctenosaura oedirhina,REPTILIA,파충류,EN,3
Ctenosaura melanosterna,REPTILIA,파충류,EN,3
Ctenosaura palearis,REPTILIA,파충류,EN,3
Melicope pallida,MAGNOLIOPSIDA,식물,CR,4
Kassina jozani,AMPHIBIA,양서류,EN,3
Amazona vinacea,AVES,조류,EN,3
Agrotis infusa,INSECTA,무척추,EN,3
Characodon audax,ACTINOPTERYGII,어류,EN,3
Liobagrus nigricauda,ACTINOPTERYGII,어류,EN,3
Anabarilius polylepis,ACTINOPTERYGII,어류,EN,3
Etheostoma australe,ACTINOPTERYGII,어류,EN,3
Hampala lopezi,ACTINOPTERYGII,어류,EN,3
Pachypanchax sakaramyi,ACTINOPTERYGII,어류,EN,3
Alburnus albidus,ACTINOPTERYGII,어류,EN,3
Hippocampus whitei,ACTINOPTERYGII,어류,EN,3
Anas bernieri,AVES,조류,EN,3
Salamandrina perspicillata,AMPHIBIA,양서류,EN,3
Stemonoporus elegans,MAGNOLIOPSIDA,식물,EN,3
Chondrostoma phoxinus,ACTINOPTERYGII,어류,EN,3
Insuetophrynus acarpicus,AMPHIBIA,양서류,EN,3
Eupsophus migueli,AMPHIBIA,양서류,EN,3
Echinopsis pampana,MAGNOLIOPSIDA,식물,EN,3
Uroplatus pietschmanni,REPTILIA,파충류,EN,3
Etheostoma ditrema,ACTINOPTERYGII,어류,EN,3
Newcombia lirata,GASTROPODA,무척추,EN,3
Acheilognathus longipinnis,ACTINOPTERYGII,어류,EN,3
Corallus blombergi,REPTILIA,파충류,EN,3
Cyprinodon tularosa,ACTINOPTERYGII,어류,EN,3
Parashorea aptera,MAGNOLIOPSIDA,식물,EN,3
Macadamia tetraphylla,MAGNOLIOPSIDA,식물,EN,3
Thorius boreas,AMPHIBIA,양서류,EN,3
Cycloderma frenatum,REPTILIA,파충류,EN,3
Gymnocalycium horstii,MAGNOLIOPSIDA,식물,EN,3
Aloe descoingsii,LILIOPSIDA,식물,EN,3
Goniurosaurus catbaensis,REPTILIA,파충류,EN,3
Vanilla pompona,LILIOPSIDA,식물,EN,3
Juniperus gracilior,PINOPSIDA,식물,EN,3
Phalacrocorax featherstoni,AVES,조류,EN,3
Aloe laeta,LILIOPSIDA,식물,EN,3
Parodia scopa,MAGNOLIOPSIDA,식물,VU,2
Encheloclarias tapeinopterus,ACTINOPTERYGII,어류,VU,2
Gambusia krumholzi,ACTINOPTERYGII,어류,VU,2
Brunfelsia jamaicensis,MAGNOLIOPSIDA,식물,VU,2
Conolophus pallidus,REPTILIA,파충류,VU,2
Procellaria aequinoctialis,AVES,조류,VU,2
Procellaria conspicillata,AVES,조류,VU,2
Salmo akairos,ACTINOPTERYGII,어류,VU,2
Breviceps gibbosus,AMPHIBIA,양서류,VU,2
Haplochromis welcommei,ACTINOPTERYGII,어류,VU,2
Fundulus waccamensis,ACTINOPTERYGII,어류,VU,2
Khaya anthotheca,MAGNOLIOPSIDA,식물,VU,2
Cobitis calderoni,ACTINOPTERYGII,어류,VU,2
Kinosternon sonoriense,REPTILIA,파충류,VU,2
Sabanejewia romanica,ACTINOPTERYGII,어류,VU,2
Acacia howittii,MAGNOLIOPSIDA,식물,VU,2
Araucaria luxurians,PINOPSIDA,식물,VU,2
Entandrophragma cylindricum,MAGNOLIOPSIDA,식물,VU,2
Graptemys flavimaculata,REPTILIA,파충류,VU,2
Eunicella verrucosa,ANTHOZOA,무척추,NT,1
Cupressus sargentii,PINOPSIDA,식물,VU,2
Hemimyzon taitungensis,ACTINOPTERYGII,어류,VU,2
Tyto aurantia,AVES,조류,VU,2
Crangonyx hobbsi,MALACOSTRACA,무척추,VU,2
Hippocampus trimaculatus,ACTINOPTERYGII,어류,EN,3
Bulbophyllum undecifilum,LILIOPSIDA,식물,VU,2
Euphorbia sakarahaensis,MAGNOLIOPSIDA,식물,VU,2
Byblis guehoi,MAGNOLIOPSIDA,식물,VU,2
Cipocereus bradei,MAGNOLIOPSIDA,식물,VU,2
Pristimantis actites,AMPHIBIA,양서류,VU,2
Pseudochondrostoma polylepis,ACTINOPTERYGII,어류,VU,2
Cualac tessellatus,ACTINOPTERYGII,어류,VU,2
Fuchsia steyermarkii,MAGNOLIOPSIDA,식물,VU,2
Furcifer campani,REPTILIA,파충류,VU,2
Socotrella dolichocnema,MAGNOLIOPSIDA,식물,VU,2
Chlamydotis undulata,AVES,조류,VU,2
Stygobromus ozarkensis,MALACOSTRACA,무척추,VU,2
Anaxyrus canorus,AMPHIBIA,양서류,VU,2
Gambusia heterochir,ACTINOPTERYGII,어류,VU,2
Ictalurus mexicanus,ACTINOPTERYGII,어류,VU,2
Freziera uniauriculata,MAGNOLIOPSIDA,식물,VU,2
Canthocamptus tasmaniae,HEXANAUPLIA,무척추,VU,2
Utricularia albocaerulea,MAGNOLIOPSIDA,식물,VU,2
Mammillaria carretii,MAGNOLIOPSIDA,식물,VU,2
Aloe brachystachys,LILIOPSIDA,식물,VU,2
Hylocereus minutiflorus,MAGNOLIOPSIDA,식물,VU,2
Aloe ukambensis,LILIOPSIDA,식물,VU,2
Haplochromis thereuterion,ACTINOPTERYGII,어류,VU,2
Grasseichthys gabonensis,ACTINOPTERYGII,어류,VU,2
Copiapoa echinoides,MAGNOLIOPSIDA,식물,VU,2
Entosphenus minimus,PETROMYZONTI,어류,VU,2
Heliodiaptomus kolleruensis,MAXILLOPODA,무척추,VU,2
Troglohyphantes similis,ARACHNIDA,무척추,VU,2
Fuchsia harlingii,MAGNOLIOPSIDA,식물,VU,2
Gambusia gaigei,ACTINOPTERYGII,어류,VU,2
Euploea scherzeri,INSECTA,무척추,VU,2
Gallotia simonyi,REPTILIA,파충류,VU,2
Aloe tororoana,LILIOPSIDA,식물,VU,2
Abies hidalgensis,PINOPSIDA,식물,VU,2
Meriania panamensis,MAGNOLIOPSIDA,식물,VU,2
Telespiza cantans,AVES,조류,VU,2
Procellaria parkinsoni,AVES,조류,VU,2
Cyprinodon verecundus,ACTINOPTERYGII,어류,VU,2
Capoeta antalyensis,ACTINOPTERYGII,어류,VU,2
Etheostoma acuticeps,ACTINOPTERYGII,어류,VU,2
Schlumbergera microsphaerica,MAGNOLIOPSIDA,식물,VU,2
Deckenia nobilis,LILIOPSIDA,식물,VU,2
Cirrhinus microlepis,ACTINOPTERYGII,어류,VU,2
Seriatopora hystrix,ANTHOZOA,무척추,VU,2
Disocactus phyllanthoides,MAGNOLIOPSIDA,식물,VU,2
Geothlypis beldingi,AVES,조류,VU,2
Apistogramma iniridae,ACTINOPTERYGII,어류,VU,2
Accipiter butleri,AVES,조류,VU,2
Pilgerodendron uviferum,PINOPSIDA,식물,VU,2
Aloe squarrosa,LILIOPSIDA,식물,VU,2
Apistogramma velifera,ACTINOPTERYGII,어류,VU,2
Aloe musapana,LILIOPSIDA,식물,VU,2
Astrophytum ornatum,MAGNOLIOPSIDA,식물,VU,2
Megachile pluto,INSECTA,무척추,VU,2
Lophira alata,MAGNOLIOPSIDA,식물,VU,2
Dendrosicyos socotrana,MAGNOLIOPSIDA,식물,VU,2
Mila caespitosa,MAGNOLIOPSIDA,식물,VU,2
Platymantis taylori,AMPHIBIA,양서류,VU,2
Dracaena cinnabari,LILIOPSIDA,식물,VU,2
Aloe macrosiphon,LILIOPSIDA,식물,VU,2
Accipiter luteoschistaceus,AVES,조류,VU,2
Pinus greggii,PINOPSIDA,식물,VU,2
Magnolia cylindrica,MAGNOLIOPSIDA,식물,VU,2
Oreophrynella macconnelli,AMPHIBIA,양서류,VU,2
Accipiter henstii,AVES,조류,VU,2
Accipiter brachyurus,AVES,조류,VU,2
Aloe lindenii,LILIOPSIDA,식물,VU,2
Heptacodium miconioides,MAGNOLIOPSIDA,식물,VU,2
Oophaga granulifera,AMPHIBIA,양서류,VU,2
Parasitaxus usta,PINOPSIDA,식물,VU,2
Pterospermum reticulatum,MAGNOLIOPSIDA,식물,LC,0
Pterocarya fraxinifolia,MAGNOLIOPSIDA,식물,VU,2
Euphorbia leuconeura,MAGNOLIOPSIDA,식물,VU,2
Cataglyphis hannae,INSECTA,무척추,VU,2
Accipiter princeps,AVES,조류,VU,2
Cyprinella alvarezdelvillari,ACTINOPTERYGII,어류,VU,2
Psittrichas fulgidus,AVES,조류,VU,2
Takakia ceratophylla,TAKAKIOPSIDA,식물,VU,2
Strombocactus disciformis,MAGNOLIOPSIDA,식물,VU,2
Plagiolepis grassei,INSECTA,무척추,VU,2
Cirrhinus cirrhosus,ACTINOPTERYGII,어류,VU,2
Pseudotaxus chienii,PINOPSIDA,식물,VU,2
Amphilophus sagittae,ACTINOPTERYGII,어류,VU,2
Schippia concolor,LILIOPSIDA,식물,VU,2
Hatiora gaertneri,MAGNOLIOPSIDA,식물,VU,2
Salmo stomachicus,ACTINOPTERYGII,어류,VU,2
Rhipsalis pilocarpa,MAGNOLIOPSIDA,식물,VU,2
Ptychocheilus lucius,ACTINOPTERYGII,어류,VU,2
Mammillaria luethyi,MAGNOLIOPSIDA,식물,VU,2
Carcharhinus amblyrhynchoides,CHONDRICHTHYES,어류,VU,2
Espostoopsis dybowskii,MAGNOLIOPSIDA,식물,VU,2
Schlumbergera opuntioides,MAGNOLIOPSIDA,식물,VU,2
Pomatorhinus montanus,AVES,조류,VU,2
Aloe ballii,LILIOPSIDA,식물,VU,2
Dipterocarpus alatus,MAGNOLIOPSIDA,식물,VU,2
Umbrina cirrosa,ACTINOPTERYGII,어류,VU,2
Nematostella vectensis,ANTHOZOA,무척추,VU,2
Scyliorhinus stellaris,CHONDRICHTHYES,어류,VU,2
Cupressus chengiana,PINOPSIDA,식물,VU,2
Sternula nereis,AVES,조류,VU,2
Nepenthes bicalcarata,MAGNOLIOPSIDA,식물,VU,2
Melocactus pachyacanthus,MAGNOLIOPSIDA,식물,VU,2
Astrophytum asterias,MAGNOLIOPSIDA,식물,VU,2
Pangasius krempfi,ACTINOPTERYGII,어류,VU,2
Bagarius bagarius,ACTINOPTERYGII,어류,VU,2
Schizothorax argentatus,ACTINOPTERYGII,어류,VU,2
Malania oleifera,MAGNOLIOPSIDA,식물,VU,2
Cycas armstrongii,CYCADOPSIDA,식물,VU,2
Aloe compressa,LILIOPSIDA,식물,VU,2
Oligoclada heliophila,INSECTA,무척추,VU,2
Schizothorax pseudoaksaiensis,ACTINOPTERYGII,어류,VU,2
Aloe massawana,LILIOPSIDA,식물,VU,2
Sinadoxa corydalifolia,MAGNOLIOPSIDA,식물,VU,2
Euterpe luminosa,LILIOPSIDA,식물,VU,2
Echium gentianoides,MAGNOLIOPSIDA,식물,VU,2
Eucalyptus leucoxylon,MAGNOLIOPSIDA,식물,VU,2
Tacinga braunii,MAGNOLIOPSIDA,식물,VU,2
Drosera bulbigena,MAGNOLIOPSIDA,식물,VU,2
Arrojadoa dinae,MAGNOLIOPSIDA,식물,VU,2
Rhipsalis oblonga,MAGNOLIOPSIDA,식물,VU,2
Echinopsis backebergii,MAGNOLIOPSIDA,식물,VU,2
Neobuxbaumia polylopha,MAGNOLIOPSIDA,식물,VU,2
Inga allenii,MAGNOLIOPSIDA,식물,VU,2
Inga jimenezii,MAGNOLIOPSIDA,식물,VU,2
Euphorbia alfredii,MAGNOLIOPSIDA,식물,VU,2
Pristimantis appendiculatus,AMPHIBIA,양서류,VU,2
Hypselobarbus kolus,ACTINOPTERYGII,어류,VU,2
Arthrocereus melanurus,MAGNOLIOPSIDA,식물,VU,2
Micranthocereus albicephalus,MAGNOLIOPSIDA,식물,VU,2
Romanogobio antipai,ACTINOPTERYGII,어류,VU,2
Pilosocereus aureispinus,MAGNOLIOPSIDA,식물,VU,2
Cedrela odorata,MAGNOLIOPSIDA,식물,VU,2
Beccariophoenix alfredii,LILIOPSIDA,식물,VU,2
Dentex dentex,ACTINOPTERYGII,어류,VU,2
Fouquieria columnaris,MAGNOLIOPSIDA,식물,VU,2
Oreophrynella nigra,AMPHIBIA,양서류,VU,2
Nomada argentata,INSECTA,무척추,VU,2
Nepenthes campanulata,MAGNOLIOPSIDA,식물,VU,2
Lophophora diffusa,MAGNOLIOPSIDA,식물,VU,2
Gentianella bohemica,MAGNOLIOPSIDA,식물,VU,2
Galium sudeticum,MAGNOLIOPSIDA,식물,VU,2
Crotalus stejnegeri,REPTILIA,파충류,VU,2
Hopea odorata,MAGNOLIOPSIDA,식물,VU,2
Nepenthes merrilliana,MAGNOLIOPSIDA,식물,VU,2
Nepenthes northiana,MAGNOLIOPSIDA,식물,VU,2
Byblis lamellata,MAGNOLIOPSIDA,식물,VU,2
Melocactus violaceus,MAGNOLIOPSIDA,식물,VU,2
Chondrostoma scodrense,ACTINOPTERYGII,어류,EX,5
Brotomys voratus,MAMMALIA,포유류,EX,5
Achyranthes atollensis,MAGNOLIOPSIDA,식물,EX,5
Notomys mordax,MAMMALIA,포유류,EX,5
Cyprinodon ceciliae,ACTINOPTERYGII,어류,EX,5
Boromys torrei,MAMMALIA,포유류,EX,5
Boromys offella,MAMMALIA,포유류,EX,5
Isolobodon montanus,MAMMALIA,포유류,EX,5
Flabellidium spinosum,BRYOPSIDA,식물,EX,5
Coua delalandei,AVES,조류,EX,5
Cyprinodon inmemoriam,ACTINOPTERYGII,어류,EX,5
Gambusia amistadensis,ACTINOPTERYGII,어류,EX,5
Litoria nyakalensis,AMPHIBIA,양서류,EX,5
Pteropus pilosus,MAMMALIA,포유류,EX,5
Leiolopisma mauritiana,REPTILIA,파충류,EX,5
Argyroxiphium virescens,MAGNOLIOPSIDA,식물,EX,5
Elimia gibbera,GASTROPODA,무척추,EX,5
Achatinella papyracea,GASTROPODA,무척추,EX,5
Leptoxis vittata,GASTROPODA,무척추,EX,5
Melicope obovata,MAGNOLIOPSIDA,식물,EX,5
Scelotes guentheri,REPTILIA,파충류,EX,5
Pradosia glaziovii,MAGNOLIOPSIDA,식물,EX,5
Turdus ravidus,AVES,조류,EX,5
Alburnus akili,ACTINOPTERYGII,어류,EX,5
Ctenochromis pectoralis,ACTINOPTERYGII,어류,EX,5
Blutaparon rigidum,MAGNOLIOPSIDA,식물,EX,5
Lophopsittacus mauritianus,AVES,조류,EX,5
Kokia lanceolata,MAGNOLIOPSIDA,식물,EX,5
Chilonopsis blofeldi,GASTROPODA,무척추,EX,5
Porphyrio caerulescens,AVES,조류,EX,5
Lagorchestes asomatus,MAMMALIA,포유류,EX,5
Lepidochrysops hypopolia,INSECTA,무척추,EX,5
Myrcia neocambessedeana,MAGNOLIOPSIDA,식물,EX,5
Streblorrhiza speciosa,MAGNOLIOPSIDA,식물,EX,5
Myrcia skeldingii,MAGNOLIOPSIDA,식물,EX,5
Campomanesia lundiana,MAGNOLIOPSIDA,식물,EX,5
Roystonea stellata,LILIOPSIDA,식물,EX,5
Cylindraspis inepta,REPTILIA,파충류,EX,5
Geocapromys thoracatus,MAMMALIA,포유류,EX,5
Achatinella casta,GASTROPODA,무척추,EX,5
Drosophila lanaiensis,INSECTA,무척추,EX,5
Cyprinus yilongensis,ACTINOPTERYGII,어류,EX,5
Myadestes woahensis,AVES,조류,EX,5
Heteropsomys insulans,MAMMALIA,포유류,EX,5
Cryptonanus ignitus,MAMMALIA,포유류,EX,5
Vanvoorstia bennettiana,FLORIDEOPHYCEAE,조류·균류,EX,5
Hibiscadelphus crucibracteatus,MAGNOLIOPSIDA,식물,EX,5
Perameles eremiana,MAMMALIA,포유류,EX,5
Barbus microbarbis,ACTINOPTERYGII,어류,EX,5
Chasmistes muriei,ACTINOPTERYGII,어류,EX,5
Alasmidonta wrightiana,BIVALVIA,무척추,EX,5
Alasmidonta robusta,BIVALVIA,무척추,EX,5
Argocoffeopsis lemblinii,MAGNOLIOPSIDA,식물,EX,5
Tetradactylus eastwoodae,REPTILIA,파충류,EX,5
Juscelinomys candango,MAMMALIA,포유류,EX,5
Coregonus johannae,ACTINOPTERYGII,어류,EX,5
Hibiscadelphus bombycinus,MAGNOLIOPSIDA,식물,EX,5
Deloneura immaculata,INSECTA,무척추,EX,5
Necropsar rodericanus,AVES,조류,EX,5
Begonia eiromischa,MAGNOLIOPSIDA,식물,EX,5
Cyanoramphus ulietanus,AVES,조류,EX,5
Viola cryana,MAGNOLIOPSIDA,식물,EX,5
Salmo pallaryi,ACTINOPTERYGII,어류,EX,5
Necropsittacus rodricanus,AVES,조류,EX,5
Xenicus longipes,AVES,조류,EX,5
Hexolobodon phenax,MAMMALIA,포유류,EX,5
Achatinella spaldingi,GASTROPODA,무척추,EX,5
Leptoxis compacta,GASTROPODA,무척추,EX,5
Mecodema punctellum,INSECTA,무척추,EX,5
Lepidomeda altivelis,ACTINOPTERYGII,어류,EX,5
Acalypha rubrinervis,MAGNOLIOPSIDA,식물,EX,5
Potorous platyops,MAMMALIA,포유류,EX,5
Salvelinus agassizii,ACTINOPTERYGII,어류,EX,5
Leporillus apicalis,MAMMALIA,포유류,EX,5
Achatinella abbreviata,GASTROPODA,무척추,EX,5
Achatinella caesia,GASTROPODA,무척추,EX,5
Achatinella thaanumi,GASTROPODA,무척추,EX,5
Caloprymnus campestris,MAMMALIA,포유류,EX,5
Lagorchestes leporides,MAMMALIA,포유류,EX,5
Partula turgida,GASTROPODA,무척추,EX,5
Leiocephalus herminieri,REPTILIA,파충류,EX,5
Leiocephalus eremitus,REPTILIA,파충류,EX,5
Dromaius baudinianus,AVES,조류,EX,5
Anas marecula,AVES,조류,EX,5
Alasmidonta mccordi,BIVALVIA,무척추,EX,5
Incerticyclus martinicensis,GASTROPODA,무척추,EX,5
Incerticyclus cinereus,GASTROPODA,무척추,EX,5
Evarra bustamantei,ACTINOPTERYGII,어류,EX,5
Evarra eigenmanni,ACTINOPTERYGII,어류,EX,5
Melamprosops phaeosoma,AVES,조류,EX,5
Coryphomys buehleri,MAMMALIA,포유류,EX,5
Salvelinus neocomensis,ACTINOPTERYGII,어류,EX,5
Achatinella decora,GASTROPODA,무척추,EX,5
Evarra tlahuacensis,ACTINOPTERYGII,어류,EX,5
Characodon garmani,ACTINOPTERYGII,어류,EX,5
Podiceps andinus,AVES,조류,EX,5
Auriculella expansa,GASTROPODA,무척추,EX,5
Dupontia proletaria,GASTROPODA,무척추,EX,5
Mascarenotus murivorus,AVES,조류,EX,5
Achatinella valida,GASTROPODA,무척추,EX,5
Cyclophorus horridulum,GASTROPODA,무척추,EX,5
Auriculella uniplicata,GASTROPODA,무척추,EX,5
Cyclosurus mariei,GASTROPODA,무척추,EX,5
Elimia brevis,GASTROPODA,무척추,EX,5
Elimia vanuxemiana,GASTROPODA,무척추,EX,5
Elimia impressa,GASTROPODA,무척추,EX,5
Amastra cornea,GASTROPODA,무척추,EX,5
Amastra albolabris,GASTROPODA,무척추,EX,5
Elimia fusiformis,GASTROPODA,무척추,EX,5
Amastra crassilabrum,GASTROPODA,무척추,EX,5
Elimia jonesi,GASTROPODA,무척추,EX,5
Leptoxis lirata,GASTROPODA,무척추,EX,5
Elimia hartmaniana,GASTROPODA,무척추,EX,5
Leptoxis formosa,GASTROPODA,무척추,EX,5
Hygrotus artus,INSECTA,무척추,EX,5
Elimia clausa,GASTROPODA,무척추,EX,5
Achatinella dimorpha,GASTROPODA,무척추,EX,5
Leptoxis clipeata,GASTROPODA,무척추,EX,5
Plagiodontia ipnaeum,MAMMALIA,포유류,EX,5
Amastra forbesi,GASTROPODA,무척추,EX,5
Amastra elongata,GASTROPODA,무척추,EX,5
Amphicyclotulus guadeloupensis,GASTROPODA,무척추,EX,5
Gyrotoma excisa,GASTROPODA,무척추,EX,5
Hirasea planulata,GASTROPODA,무척추,EX,5
Littoridina gaudichaudii,GASTROPODA,무척추,EX,5
Leptoxis ligata,GASTROPODA,무척추,EX,5
Gyrotoma lewisii,GASTROPODA,무척추,EX,5
Gyrotoma pagoda,GASTROPODA,무척추,EX,5
Gyrotoma pumila,GASTROPODA,무척추,EX,5
Leptoxis occultata,GASTROPODA,무척추,EX,5
Alectroenas nitidissimus,AVES,조류,EX,5
Tristramella magdelainae,ACTINOPTERYGII,어류,EX,5
Achatinella lehuiensis,GASTROPODA,무척추,EX,5
Amastra reticulata,GASTROPODA,무척추,EX,5
Amastra pellucida,GASTROPODA,무척추,EX,5
Amastra subsoror,GASTROPODA,무척추,EX,5
Clappia cahabensis,GASTROPODA,무척추,EX,5
Achatinella buddii,GASTROPODA,무척추,EX,5
Elimia laeta,GASTROPODA,무척추,EX,5
Elimia pupaeformis,GASTROPODA,무척추,EX,5
Cottus echinatus,ACTINOPTERYGII,어류,EX,5
Coregonus alpenae,ACTINOPTERYGII,어류,EX,5
Gyrotoma pyramidata,GASTROPODA,무척추,EX,5
Achatinella livida,GASTROPODA,무척추,EX,5
Fundulus albolineatus,ACTINOPTERYGII,어류,EX,5
Leptoxis torrefacta,GASTROPODA,무척추,EX,5
Porphyrio mantelli,AVES,조류,EX,5
Amastra tenuispira,GASTROPODA,무척추,EX,5
Elimia pilsbryi,GASTROPODA,무척추,EX,5
Elimia pygmaea,GASTROPODA,무척추,EX,5
Harmogenanina linophora,GASTROPODA,무척추,EX,5
Harmogenanina subdetecta,GASTROPODA,무척추,EX,5
Chilonopsis exulatus,GASTROPODA,무척추,EX,5
Epioblasma haysiana,BIVALVIA,무척추,EX,5
Nestor productus,AVES,조류,EX,5
Nesiota elliptica,MAGNOLIOPSIDA,식물,EX,5
Amastra porcus,GASTROPODA,무척추,EX,5
Amphigyra alabamensis,GASTROPODA,무척추,EX,5
Alloperla roberti,INSECTA,무척추,EX,5
Amastra subrostrata,GASTROPODA,무척추,EX,5
Acanthametropus pecatonica,INSECTA,무척추,EX,5
Amastra umbilicata,GASTROPODA,무척추,EX,5
Carelia sinclairi,GASTROPODA,무척추,EX,5
Epioblasma flexuosa,BIVALVIA,무척추,EX,5
Gyrotoma walkeri,GASTROPODA,무척추,EX,5
Gastrocopta ogasawarana,GASTROPODA,무척추,EX,5
Gastrocopta chichijimana,GASTROPODA,무척추,EX,5
Achatinella elegans,GASTROPODA,무척추,EX,5
Chilonopsis subtruncatus,GASTROPODA,무척추,EX,5
Leptoxis foremanii,GASTROPODA,무척추,EX,5
Podilymbus gigas,AVES,조류,EX,5
Mautodontha saintjohni,GASTROPODA,무척추,EX,5
Macrotis leucura,MAMMALIA,포유류,EX,5
Abutilon pitcairnense,MAGNOLIOPSIDA,식물,EW,5
Camellia amplexicaulis,MAGNOLIOPSIDA,식물,EW,5
Franklinia alatamaha,MAGNOLIOPSIDA,식물,EW,5
Brugmansia insignis,MAGNOLIOPSIDA,식물,EW,5
Brugmansia vulcanicola,MAGNOLIOPSIDA,식물,EW,5
Cyprinodon veronicae,ACTINOPTERYGII,어류,EW,5
Nectophrynoides asperginis,AMPHIBIA,양서류,EW,5
Brighamia insignis,MAGNOLIOPSIDA,식물,EW,5
Partula taeniata simulans,GASTROPODA,무척추,CR,4
Notropis amecae,ACTINOPTERYGII,어류,EW,5
Encephalartos woodii,CYCADOPSIDA,식물,EW,5
Furcraea macdougallii,LILIOPSIDA,식물,EW,5
Allotoca goslinei,ACTINOPTERYGII,어류,EW,5
Cyanea pinnatifida,MAGNOLIOPSIDA,식물,EW,5
Skiffia francesae,ACTINOPTERYGII,어류,EW,5
Cryptoblepharus egeriae,REPTILIA,파충류,EW,5
Clianthus puniceus,MAGNOLIOPSIDA,식물,EW,5
Brugmansia arborea,MAGNOLIOPSIDA,식물,EW,5
Leptogryllus deceptor,INSECTA,무척추,EW,5
Lysimachia minoricensis,MAGNOLIOPSIDA,식물,EW,5
Trochetiopsis erythroxylon,MAGNOLIOPSIDA,식물,EW,5
Brugmansia aurea,MAGNOLIOPSIDA,식물,EW,5
Corvus hawaiiensis,AVES,조류,EW,5
Amomum sumatranum,LILIOPSIDA,식물,EW,5
Dendroseris gigantea,MAGNOLIOPSIDA,식물,EW,5
Senecio leucopeplus,MAGNOLIOPSIDA,식물,EW,5
Zenaida graysoni,AVES,조류,EW,5
Cyanopsitta spixii,AVES,조류,EW,5
Aylacostoma chloroticum,GASTROPODA,무척추,EW,5
Aylacostoma stigmaticum,GASTROPODA,무척추,EW,5
Partula rosea,GASTROPODA,무척추,EW,5
Partula taeniata elongata,GASTROPODA,무척추,CR,4
Euphorbia mayurnathanii,MAGNOLIOPSIDA,식물,EW,5
Cyanea superba subsp. superba,MAGNOLIOPSIDA,식물,EW,5
Aylacostoma guaraniticum,GASTROPODA,무척추,EW,5
Cyrtandra waiolani,MAGNOLIOPSIDA,식물,EW,5
Rhododendron kanehirae,MAGNOLIOPSIDA,식물,EW,5
Cyanea superba,MAGNOLIOPSIDA,식물,EW,5
Alphonsea hortensis,MAGNOLIOPSIDA,식물,EW,5
Encephalartos brevifoliolatus,CYCADOPSIDA,식물,EW,5
Encephalartos heenanii,CYCADOPSIDA,식물,EW,5
Encephalartos nubimontanus,CYCADOPSIDA,식물,EW,5
Encephalartos relictus,CYCADOPSIDA,식물,EW,5
Cyprinodon alvarezi,ACTINOPTERYGII,어류,EW,5
Cyprinodon longidorsalis,ACTINOPTERYGII,어류,EW,5
Brugmansia versicolor,MAGNOLIOPSIDA,식물,EW,5
Partula hebe,GASTROPODA,무척추,EW,5
Arachis rigonii,MAGNOLIOPSIDA,식물,EW,5
Aloe silicicola,LILIOPSIDA,식물,EW,5
Scardinius racovitzai,ACTINOPTERYGII,어류,EW,5
Partula varia,GASTROPODA,무척추,EW,5
