scientific_name,iucn_class,taxon_group,iucn_category,iucn_score
Pseudoeurycea saltator,AMPHIBIA,양서류,CR,4
Aloe pearsonii,LILIOPSIDA,식물,CR,4
Hynobius glacialis,AMPHIBIA,양서류,CR,4
Salmo fibreni,ACTINOPTERYGII,어류,CR,4
Amphilophus chancho,ACTINOPTERYGII,어류,CR,4
Amphilophus zaliosus,ACTINOPTERYGII,어류,CR,4
Plecotus teneriffae,MAMMALIA,포유류,CR,4
Aloe leandrii,LILIOPSIDA,식물,CR,4
Adansonia perrieri,MAGNOLIOPSIDA,식물,CR,4
Chiropterotriton mosaueri,AMPHIBIA,양서류,CR,4
Oophaga histrionica,AMPHIBIA,양서류,CR,4
Ecnomiohyla rabborum,AMPHIBIA,양서류,CR,4
Abies beshanzuensis,PINOPSIDA,식물,CR,4
Wikstroemia villosa,MAGNOLIOPSIDA,식물,CR,4
Rhizosomichthys totae,ACTINOPTERYGII,어류,CR,4
Aaptosyax grypus,ACTINOPTERYGII,어류,CR,4
Anoxypristis cuspidata,CHONDRICHTHYES,어류,CR,4
Probarbus jullieni,ACTINOPTERYGII,어류,CR,4
Nepenthes macrophylla,MAGNOLIOPSIDA,식물,CR,4
Melocactus conoideus,MAGNOLIOPSIDA,식물,CR,4
Haptanthus hazlettii,MAGNOLIOPSIDA,식물,CR,4
Pristis zijsron,CHONDRICHTHYES,어류,CR,4
Amphilophus astorquii,ACTINOPTERYGII,어류,CR,4
Ipomoea pulcherrima,MAGNOLIOPSIDA,식물,CR,4
Tylomys tumbalensis,MAMMALIA,포유류,CR,4
Glyptemys muhlenbergii,REPTILIA,파충류,CR,4
Salmo ezenami,ACTINOPTERYGII,어류,CR,4
Myaka myaka,ACTINOPTERYGII,어류,CR,4
Eleutherodactylus amadeus,AMPHIBIA,양서류,CR,4
Nepenthes attenboroughii,MAGNOLIOPSIDA,식물,CR,4
Poecilotheria metallica,ARACHNIDA,무척추,CR,4
Amphilophus flaveolus,ACTINOPTERYGII,어류,CR,4
Crocidura harenna,MAMMALIA,포유류,CR,4
Lygodactylus williamsi,REPTILIA,파충류,CR,4
Mexipedium xerophyticum,LILIOPSIDA,식물,CR,4
Uromys porculus,MAMMALIA,포유류,CR,4
Dorcopsis atrata,MAMMALIA,포유류,CR,4
Phalanger matanim,MAMMALIA,포유류,CR,4
Murina tenebrosa,MAMMALIA,포유류,CR,4
Agrotis laysanensis,INSECTA,무척추,CR,4
Begonia salaziensis,MAGNOLIOPSIDA,식물,CR,4
Juania australis,LILIOPSIDA,식물,CR,4
Diceros bicornis,MAMMALIA,포유류,CR,4
Craugastor tabasarae,AMPHIBIA,양서류,CR,4
Aloe albiflora,LILIOPSIDA,식물,CR,4
Turbinicarpus mandragora,MAGNOLIOPSIDA,식물,CR,4
Uromys imperator,MAMMALIA,포유류,CR,4
Marthella trinitatis,LILIOPSIDA,식물,CR,4
Calyptura cristata,AVES,조류,CR,4
Prodontria lewisi,INSECTA,무척추,CR,4
Erioderma pedicellatum,LECANOROMYCETES,조류·균류,CR,4
Nepenthes aristolochioides,MAGNOLIOPSIDA,식물,CR,4
Plestiodon longirostris,REPTILIA,파충류,CR,4
Tylomys bullaris,MAMMALIA,포유류,CR,4
Turbinicarpus alonsoi,MAGNOLIOPSIDA,식물,CR,4
Pristis clavata,CHONDRICHTHYES,어류,CR,4
Perrierosedum madagascariense,MAGNOLIOPSIDA,식물,CR,4
Potorous gilbertii,MAMMALIA,포유류,CR,4
Cricetus cricetus,MAMMALIA,포유류,CR,4
Hibiscadelphus hualalaiensis,MAGNOLIOPSIDA,식물,CR,4
Turbinicarpus hoferi,MAGNOLIOPSIDA,식물,CR,4
Rana chevronta,AMPHIBIA,양서류,CR,4
Necrosyrtes monachus,AVES,조류,CR,4
Ailurops melanotis,MAMMALIA,포유류,CR,4
Mammillaria schwarzii,MAGNOLIOPSIDA,식물,CR,4
